ticker,name,sector,cik,source
MMM,3M,Industrials,66740,sp500
AOS,A. O. Smith,Industrials,91142,sp500
ABT,Abbott Laboratories,Health Care,1800,sp500
ABBV,AbbVie,Health Care,1551152,sp500
ACN,Accenture,Information Technology,1467373,sp500
ADBE,Adobe Inc.,Information Technology,796343,sp500
AMD,Advanced Micro Devices,Information Technology,2488,sp500
AES,AES Corporation,Utilities,874761,sp500
AFL,Aflac,Financials,4977,sp500
A,Agilent Technologies,Health Care,1090872,sp500
APD,Air Products,Materials,2969,sp500
ABNB,Airbnb,Consumer Discretionary,1559720,sp500
AKAM,Akamai Technologies,Information Technology,1086222,sp500
ALB,Albemarle Corporation,Materials,915913,sp500
ARE,Alexandria Real Estate Equities,Real Estate,1035443,sp500
ALGN,Align Technology,Health Care,1097149,sp500
ALLE,Allegion,Industrials,1579241,sp500
LNT,Alliant Energy,Utilities,352541,sp500
ALL,Allstate,Financials,899051,sp500
GOOGL,Alphabet Inc. (Class A),Communication Services,1652044,sp500
GOOG,Alphabet Inc. (Class C),Communication Services,1652044,sp500
MO,Altria,Consumer Staples,764180,sp500
AMZN,Amazon,Consumer Discretionary,1018724,sp500
AMCR,Amcor,Materials,1748790,sp500
AEE,Ameren,Utilities,1002910,sp500
AEP,American Electric Power,Utilities,4904,sp500
AXP,American Express,Financials,4962,sp500
AIG,American International Group,Financials,5272,sp500
AMT,American Tower,Real Estate,1053507,sp500
AWK,American Water Works,Utilities,1410636,sp500
AMP,Ameriprise Financial,Financials,820027,sp500
AME,Ametek,Industrials,1037868,sp500
AMGN,Amgen,Health Care,318154,sp500
APH,Amphenol,Information Technology,820313,sp500
ADI,Analog Devices,Information Technology,6281,sp500
AON,Aon plc,Financials,315293,sp500
APA,APA Corporation,Energy,1841666,sp500
APO,Apollo Global Management,Financials,1858681,sp500
AAPL,Apple Inc.,Information Technology,320193,sp500
AMAT,Applied Materials,Information Technology,6951,sp500
APP,AppLovin,Information Technology,1751008,sp500
APTV,Aptiv,Consumer Discretionary,1521332,sp500
ACGL,Arch Capital Group,Financials,947484,sp500
ADM,Archer Daniels Midland,Consumer Staples,7084,sp500
ARES,Ares Management,Financials,1176948,sp500
ANET,Arista Networks,Information Technology,1596532,sp500
AJG,Arthur J. Gallagher & Co.,Financials,354190,sp500
AIZ,Assurant,Financials,1267238,sp500
T,AT&T,Communication Services,732717,sp500
ATO,Atmos Energy,Utilities,731802,sp500
ADSK,Autodesk,Information Technology,769397,sp500
ADP,Automatic Data Processing,Industrials,8670,sp500
AZO,AutoZone,Consumer Discretionary,866787,sp500
AVB,AvalonBay Communities,Real Estate,915912,sp500
AVY,Avery Dennison,Materials,8818,sp500
AXON,Axon Enterprise,Industrials,1069183,sp500
BKR,Baker Hughes,Energy,1701605,sp500
BALL,Ball Corporation,Materials,9389,sp500
BAC,Bank of America,Financials,70858,sp500
BAX,Baxter International,Health Care,10456,sp500
BDX,Becton Dickinson,Health Care,10795,sp500
BRK.B,Berkshire Hathaway,Financials,1067983,sp500
BBY,Best Buy,Consumer Discretionary,764478,sp500
TECH,Bio-Techne,Health Care,842023,sp500
BIIB,Biogen,Health Care,875045,sp500
BLK,BlackRock,Financials,2012383,sp500
BX,Blackstone Inc.,Financials,1393818,sp500
XYZ,"Block, Inc.",Financials,1512673,sp500
BNY,BNY Mellon,Financials,1390777,sp500
BA,Boeing,Industrials,12927,sp500
BKNG,Booking Holdings,Consumer Discretionary,1075531,sp500
BSX,Boston Scientific,Health Care,885725,sp500
BMY,Bristol Myers Squibb,Health Care,14272,sp500
AVGO,Broadcom,Information Technology,1730168,sp500
BR,Broadridge Financial Solutions,Industrials,1383312,sp500
BRO,Brown & Brown,Financials,79282,sp500
BF.B,Brown–Forman,Consumer Staples,14693,sp500
BLDR,Builders FirstSource,Industrials,1316835,sp500
BG,Bunge Global,Consumer Staples,1996862,sp500
BXP,"BXP, Inc.",Real Estate,1037540,sp500
CHRW,C.H. Robinson,Industrials,1043277,sp500
CDNS,Cadence Design Systems,Information Technology,813672,sp500
CPT,Camden Property Trust,Real Estate,906345,sp500
CPB,Campbell's Company (The),Consumer Staples,16732,sp500
COF,Capital One,Financials,927628,sp500
CAH,Cardinal Health,Health Care,721371,sp500
CCL,Carnival Corporation,Consumer Discretionary,815097,sp500
CARR,Carrier Global,Industrials,1783180,sp500
CVNA,Carvana,Consumer Discretionary,1690820,sp500
CASY,Casey's,Consumer Staples,726958,sp500
CAT,Caterpillar Inc.,Industrials,18230,sp500
CBOE,Cboe Global Markets,Financials,1374310,sp500
CBRE,CBRE Group,Real Estate,1138118,sp500
CDW,CDW Corporation,Information Technology,1402057,sp500
COR,Cencora,Health Care,1140859,sp500
CNC,Centene Corporation,Health Care,1071739,sp500
CNP,CenterPoint Energy,Utilities,1130310,sp500
CF,CF Industries,Materials,1324404,sp500
CRL,Charles River Laboratories,Health Care,1100682,sp500
SCHW,Charles Schwab Corporation,Financials,316709,sp500
CHTR,Charter Communications,Communication Services,1091667,sp500
CVX,Chevron Corporation,Energy,93410,sp500
CMG,Chipotle Mexican Grill,Consumer Discretionary,1058090,sp500
CB,Chubb Limited,Financials,896159,sp500
CHD,Church & Dwight,Consumer Staples,313927,sp500
CIEN,Ciena,Information Technology,936395,sp500
CI,Cigna,Health Care,1739940,sp500
CINF,Cincinnati Financial,Financials,20286,sp500
CTAS,Cintas,Industrials,723254,sp500
CSCO,Cisco,Information Technology,858877,sp500
C,Citigroup,Financials,831001,sp500
CFG,Citizens Financial Group,Financials,759944,sp500
CLX,Clorox,Consumer Staples,21076,sp500
CME,CME Group,Financials,1156375,sp500
CMS,CMS Energy,Utilities,811156,sp500
KO,Coca-Cola Company (The),Consumer Staples,21344,sp500
CTSH,Cognizant,Information Technology,1058290,sp500
COHR,Coherent Corp.,Information Technology,820318,sp500
COIN,Coinbase,Financials,1679788,sp500
CL,Colgate-Palmolive,Consumer Staples,21665,sp500
CMCSA,Comcast,Communication Services,1166691,sp500
FIX,Comfort Systems USA,Industrials,1035983,sp500
CAG,Conagra Brands,Consumer Staples,23217,sp500
COP,ConocoPhillips,Energy,1163165,sp500
ED,Consolidated Edison,Utilities,1047862,sp500
STZ,Constellation Brands,Consumer Staples,16918,sp500
CEG,Constellation Energy,Utilities,1868275,sp500
COO,Cooper Companies (The),Health Care,711404,sp500
CPRT,Copart,Industrials,900075,sp500
GLW,Corning Inc.,Information Technology,24741,sp500
CPAY,Corpay,Financials,1175454,sp500
CTVA,Corteva,Materials,1755672,sp500
CSGP,CoStar Group,Real Estate,1057352,sp500
COST,Costco,Consumer Staples,909832,sp500
CRH,CRH plc,Materials,849395,sp500
CRWD,CrowdStrike,Information Technology,1535527,sp500
CCI,Crown Castle,Real Estate,1051470,sp500
CSX,CSX Corporation,Industrials,277948,sp500
CMI,Cummins,Industrials,26172,sp500
CVS,CVS Health,Health Care,64803,sp500
DHR,Danaher Corporation,Health Care,313616,sp500
DRI,Darden Restaurants,Consumer Discretionary,940944,sp500
DDOG,Datadog,Information Technology,1561550,sp500
DVA,DaVita,Health Care,927066,sp500
DECK,Deckers Brands,Consumer Discretionary,910521,sp500
DE,Deere & Company,Industrials,315189,sp500
DELL,Dell Technologies,Information Technology,1571996,sp500
DAL,Delta Air Lines,Industrials,27904,sp500
DVN,Devon Energy,Energy,1090012,sp500
DXCM,Dexcom,Health Care,1093557,sp500
FANG,Diamondback Energy,Energy,1539838,sp500
DLR,Digital Realty,Real Estate,1297996,sp500
DG,Dollar General,Consumer Staples,29534,sp500
DLTR,Dollar Tree,Consumer Staples,935703,sp500
D,Dominion Energy,Utilities,715957,sp500
DPZ,Domino's,Consumer Discretionary,1286681,sp500
DASH,DoorDash,Consumer Discretionary,1792789,sp500
DOV,Dover Corporation,Industrials,29905,sp500
DOW,Dow Inc.,Materials,1751788,sp500
DHI,D. R. Horton,Consumer Discretionary,882184,sp500
DTE,DTE Energy,Utilities,936340,sp500
DUK,Duke Energy,Utilities,1326160,sp500
DD,DuPont,Materials,1666700,sp500
ETN,Eaton Corporation,Industrials,1551182,sp500
EBAY,eBay Inc.,Consumer Discretionary,1065088,sp500
SATS,EchoStar,Communication Services,1415404,sp500
ECL,Ecolab,Materials,31462,sp500
EIX,Edison International,Utilities,827052,sp500
EW,Edwards Lifesciences,Health Care,1099800,sp500
EA,Electronic Arts,Communication Services,712515,sp500
ELV,Elevance Health,Health Care,1156039,sp500
EME,Emcor,Industrials,105634,sp500
EMR,Emerson Electric,Industrials,32604,sp500
ETR,Entergy,Utilities,65984,sp500
EOG,EOG Resources,Energy,821189,sp500
EQT,EQT Corporation,Energy,33213,sp500
EFX,Equifax,Industrials,33185,sp500
EQIX,Equinix,Real Estate,1101239,sp500
EQR,Equity Residential,Real Estate,906107,sp500
ERIE,Erie Indemnity,Financials,922621,sp500
ESS,Essex Property Trust,Real Estate,920522,sp500
EL,Estée Lauder Companies (The),Consumer Staples,1001250,sp500
EG,Everest Group,Financials,1095073,sp500
EVRG,Evergy,Utilities,1711269,sp500
ES,Eversource Energy,Utilities,72741,sp500
EXC,Exelon,Utilities,1109357,sp500
EXE,Expand Energy,Energy,895126,sp500
EXPE,Expedia Group,Consumer Discretionary,1324424,sp500
EXPD,Expeditors International,Industrials,746515,sp500
EXR,Extra Space Storage,Real Estate,1289490,sp500
XOM,ExxonMobil,Energy,34088,sp500
FFIV,"F5, Inc.",Information Technology,1048695,sp500
FDS,FactSet,Financials,1013237,sp500
FICO,Fair Isaac,Information Technology,814547,sp500
FAST,Fastenal,Industrials,815556,sp500
FRT,Federal Realty Investment Trust,Real Estate,34903,sp500
FDX,FedEx,Industrials,1048911,sp500
FDXF,FedEx Freight,Industrials,2082247,sp500
FIS,Fidelity National Information Services,Financials,1136893,sp500
FITB,Fifth Third Bancorp,Financials,35527,sp500
FSLR,First Solar,Information Technology,1274494,sp500
FE,FirstEnergy,Utilities,1031296,sp500
FISV,Fiserv,Financials,798354,sp500
F,Ford Motor Company,Consumer Discretionary,37996,sp500
FTNT,Fortinet,Information Technology,1262039,sp500
FTV,Fortive,Industrials,1659166,sp500
FOXA,Fox Corporation (Class A),Communication Services,1754301,sp500
FOX,Fox Corporation (Class B),Communication Services,1754301,sp500
BEN,Franklin Resources,Financials,38777,sp500
FCX,Freeport-McMoRan,Materials,831259,sp500
GRMN,Garmin,Consumer Discretionary,1121788,sp500
IT,Gartner,Information Technology,749251,sp500
GE,GE Aerospace,Industrials,40545,sp500
GEHC,GE HealthCare,Health Care,1932393,sp500
GEV,GE Vernova,Industrials,1996810,sp500
GEN,Gen Digital,Information Technology,849399,sp500
GNRC,Generac,Industrials,1474735,sp500
GD,General Dynamics,Industrials,40533,sp500
GIS,General Mills,Consumer Staples,40704,sp500
GM,General Motors,Consumer Discretionary,1467858,sp500
GPC,Genuine Parts Company,Consumer Discretionary,40987,sp500
GILD,Gilead Sciences,Health Care,882095,sp500
GPN,Global Payments,Financials,1123360,sp500
GL,Globe Life,Financials,320335,sp500
GDDY,GoDaddy,Information Technology,1609711,sp500
GS,Goldman Sachs,Financials,886982,sp500
HAL,Halliburton,Energy,45012,sp500
HIG,Hartford (The),Financials,874766,sp500
HAS,Hasbro,Consumer Discretionary,46080,sp500
HCA,HCA Healthcare,Health Care,860730,sp500
DOC,Healthpeak Properties,Real Estate,765880,sp500
HSIC,Henry Schein,Health Care,1000228,sp500
HSY,Hershey Company (The),Consumer Staples,47111,sp500
HPE,Hewlett Packard Enterprise,Information Technology,1645590,sp500
HLT,Hilton Worldwide,Consumer Discretionary,1585689,sp500
HD,Home Depot (The),Consumer Discretionary,354950,sp500
HON,Honeywell,Industrials,773840,sp500
HRL,Hormel Foods,Consumer Staples,48465,sp500
HST,Host Hotels & Resorts,Real Estate,1070750,sp500
HWM,Howmet Aerospace,Industrials,4281,sp500
HPQ,HP Inc.,Information Technology,47217,sp500
HUBB,Hubbell Incorporated,Industrials,48898,sp500
HUM,Humana,Health Care,49071,sp500
HBAN,Huntington Bancshares,Financials,49196,sp500
HII,Huntington Ingalls Industries,Industrials,1501585,sp500
IBM,IBM,Information Technology,51143,sp500
IEX,IDEX Corporation,Industrials,832101,sp500
IDXX,Idexx Laboratories,Health Care,874716,sp500
ITW,Illinois Tool Works,Industrials,49826,sp500
INCY,Incyte,Health Care,879169,sp500
IR,Ingersoll Rand,Industrials,1699150,sp500
PODD,Insulet Corporation,Health Care,1145197,sp500
INTC,Intel,Information Technology,50863,sp500
IBKR,Interactive Brokers,Financials,1381197,sp500
ICE,Intercontinental Exchange,Financials,1571949,sp500
IFF,International Flavors & Fragrances,Materials,51253,sp500
IP,International Paper,Materials,51434,sp500
INTU,Intuit,Information Technology,896878,sp500
ISRG,Intuitive Surgical,Health Care,1035267,sp500
IVZ,Invesco,Financials,914208,sp500
INVH,Invitation Homes,Real Estate,1687229,sp500
IQV,IQVIA,Health Care,1478242,sp500
IRM,Iron Mountain,Real Estate,1020569,sp500
JBHT,J.B. Hunt,Industrials,728535,sp500
JBL,Jabil,Information Technology,898293,sp500
JKHY,Jack Henry & Associates,Financials,779152,sp500
J,Jacobs Solutions,Industrials,52988,sp500
JNJ,Johnson & Johnson,Health Care,200406,sp500
JCI,Johnson Controls,Industrials,833444,sp500
JPM,JPMorgan Chase,Financials,19617,sp500
KVUE,Kenvue,Consumer Staples,1944048,sp500
KDP,Keurig Dr Pepper,Consumer Staples,1418135,sp500
KEY,KeyCorp,Financials,91576,sp500
KEYS,Keysight Technologies,Information Technology,1601046,sp500
KMB,Kimberly-Clark,Consumer Staples,55785,sp500
KIM,Kimco Realty,Real Estate,879101,sp500
KMI,Kinder Morgan,Energy,1506307,sp500
KKR,KKR & Co.,Financials,1404912,sp500
